"Date","Price","Open","High","Low","Change %"
"Mar 19, 2015","6.1960","6.2293","6.2293","6.1864","-0.54%"
"Mar 20, 2015","6.2052","6.1968","6.2233","6.1800","0.15%"
"Mar 23, 2015","6.2140","6.2052","6.2185","6.1975","0.14%"
"Mar 24, 2015","6.2051","6.2147","6.2147","6.1986","-0.14%"
"Mar 25, 2015","6.2121","6.2064","6.2170","6.2011","0.11%"
"Mar 26, 2015","6.2108","6.2126","6.2165","6.2070","-0.02%"
"Mar 27, 2015","6.2150","6.2130","6.2186","6.2093","0.07%"
"Mar 30, 2015","6.2070","6.2130","6.2150","6.2020","-0.13%"
"Mar 31, 2015","6.1995","6.2065","6.2065","6.1946","-0.12%"
"Apr 01, 2015","6.1985","6.2003","6.2003","6.1932","-0.02%"
"Apr 02, 2015","6.1970","6.1967","6.1984","6.1927","-0.02%"
"Apr 03, 2015","6.1935","6.1935","6.1968","6.1886","-0.06%"
"Apr 06, 2015","6.1935","6.1935","6.1935","6.1935","0.00%"
"Apr 07, 2015","6.1960","6.1910","6.1981","6.1884","0.04%"
"Apr 08, 2015","6.2025","6.1975","6.2065","6.1975","0.10%"
"Apr 09, 2015","6.2055","6.2022","6.2062","6.2018","0.05%"
"Apr 10, 2015","6.2085","6.2085","6.2119","6.2062","0.05%"
"Apr 13, 2015","6.2167","6.2093","6.2180","6.2082","0.13%"
"Apr 14, 2015","6.2115","6.2143","6.2153","6.2101","-0.08%"
"Apr 15, 2015","6.2052","6.2070","6.2115","6.2031","-0.10%"
"Apr 16, 2015","6.1962","6.1952","6.2005","6.1933","-0.15%"
"Apr 17, 2015","6.1978","6.1892","6.1980","6.1881","0.03%"
"Apr 20, 2015","6.2010","6.1980","6.2047","6.1965","0.05%"
"Apr 21, 2015","6.2010","6.2020","6.2035","6.1988","0.00%"
"Apr 22, 2015","6.1940","6.2020","6.2020","6.1938","-0.11%"
"Apr 23, 2015","6.1970","6.1935","6.1995","6.1935","0.05%"
"Apr 24, 2015","6.1935","6.1940","6.1994","6.1925","-0.06%"
"Apr 27, 2015","6.2190","6.1950","6.2208","6.1945","0.41%"
"Apr 28, 2015","6.2040","6.2170","6.2192","6.2018","-0.24%"
"Apr 29, 2015","6.1993","6.2050","6.2062","6.1979","-0.08%"
"Apr 30, 2015","6.2028","6.1975","6.2069","6.1958","0.06%"
"May 01, 2015","6.2028","6.2028","6.2028","6.2028","0.00%"
"May 04, 2015","6.2090","6.2065","6.2097","6.2054","0.10%"
"May 05, 2015","6.2060","6.2097","6.2101","6.2025","-0.05%"
"May 06, 2015","6.2004","6.2049","6.2050","6.1952","-0.09%"
"May 07, 2015","6.2066","6.1997","6.2073","6.1983","0.10%"
"May 08, 2015","6.2094","6.2070","6.2107","6.2070","0.05%"
"May 11, 2015","6.2096","6.2101","6.2110","6.2076","0.00%"
"May 12, 2015","6.2089","6.2093","6.2097","6.2071","-0.01%"
"May 13, 2015","6.2046","6.2089","6.2089","6.2025","-0.07%"
"May 14, 2015","6.2016","6.1997","6.2022","6.1986","-0.05%"
"May 15, 2015","6.2061","6.2023","6.2076","6.2023","0.07%"
"May 18, 2015","6.2043","6.2021","6.2062","6.2020","-0.03%"
"May 19, 2015","6.2066","6.2043","6.2071","6.2018","0.04%"
"May 20, 2015","6.2037","6.2056","6.2061","6.2011","-0.05%"
"May 21, 2015","6.1968","6.2030","6.2047","6.1959","-0.11%"
"May 22, 2015","6.1974","6.1961","6.1995","6.1917","0.01%"
"May 25, 2015","6.2020","6.1982","6.2032","6.1980","0.07%"
"May 26, 2015","6.2039","6.2018","6.2070","6.2017","0.03%"
"May 27, 2015","6.2013","6.2037","6.2061","6.2003","-0.04%"
"May 28, 2015","6.2012","6.2015","6.2033","6.1963","-0.00%"
"May 29, 2015","6.1983","6.2003","6.2027","6.1958","-0.05%"
"Jun 01, 2015","6.1995","6.1984","6.2010","6.1942","0.02%"
"Jun 02, 2015","6.1982","6.1991","6.2003","6.1959","-0.02%"
"Jun 03, 2015","6.1978","6.1933","6.1982","6.1928","-0.01%"
"Jun 04, 2015","6.2011","6.1959","6.2037","6.1959","0.05%"
"Jun 05, 2015","6.2034","6.2010","6.2100","6.2010","0.04%"
"Jun 08, 2015","6.2056","6.2052","6.2081","6.2019","0.04%"
"Jun 09, 2015","6.2057","6.2056","6.2071","6.2042","0.00%"
"Jun 10, 2015","6.2058","6.2043","6.2071","6.2037","0.00%"
"Jun 11, 2015","6.2066","6.2058","6.2078","6.2043","0.01%"
"Jun 12, 2015","6.2083","6.2057","6.2084","6.2051","0.03%"
"Jun 15, 2015","6.2090","6.2079","6.2107","6.2078","0.01%"
"Jun 16, 2015","6.2085","6.2077","6.2090","6.2062","-0.01%"
"Jun 17, 2015","6.2096","6.2085","6.2104","6.2061","0.02%"
"Jun 18, 2015","6.2078","6.2058","6.2097","6.2058","-0.03%"
"Jun 19, 2015","6.2095","6.2076","6.2151","6.2065","0.03%"
"Jun 22, 2015","6.2095","6.2095","6.2095","6.2095","0.00%"
"Jun 23, 2015","6.2068","6.2077","6.2095","6.2052","-0.04%"
"Jun 24, 2015","6.2071","6.2075","6.2100","6.2065","0.00%"
